Athlete;Age;Year;Closing Ceremony Date;Gold Medals;Silver Medals;Bronze Medals
Michael Phelps;23;2008;08/24/2008;8;0;0
Michael Phelps;19;2004;08/29/2004;6;0;2
Michael Phelps;27;2012;08/12/2012;4;2;0
Natalie Coughlin;25;2008;08/24/2008;1;2;3
Aleksey Nemov;24;2000;10/01/2000;2;1;3
Alicia Coutts;24;2012;08/12/2012;1;3;1
Missy Franklin;17;2012;08/12/2012;4;0;1
Ryan Lochte;27;2012;08/12/2012;2;2;1
Allison Schmitt;22;2012;08/12/2012;3;1;1
Natalie Coughlin;21;2004;08/29/2004;2;2;1
Ian Thorpe;17;2000;10/01/2000;3;2;0
Dara Torres;33;2000;10/01/2000;2;0;3
Cindy Klassen;26;2006;02/26/2006;1;2;2
Nastia Liukin;18;2008;08/24/2008;1;3;1
Marit Bjørgen;29;2010;02/28/2010;3;1;1
Sun Yang;20;2012;08/12/2012;2;1;1
Kirsty Coventry;24;2008;08/24/2008;1;3;0
Libby Lenton-Trickett;23;2008;08/24/2008;2;1;1
Ryan Lochte;24;2008;08/24/2008;2;0;2
Inge de Bruijn;30;2004;08/29/2004;1;1;2
Petria Thomas;28;2004;08/29/2004;3;1;0
Ian Thorpe;21;2004;08/29/2004;2;1;1
Inge de Bruijn;27;2000;10/01/2000;3;1;0
Gary Hall Jr.;25;2000;10/01/2000;2;1;1
Michael Klim;23;2000;10/01/2000;2;2;0
Susie O'Neill;27;2000;10/01/2000;1;3;0
Jenny Thompson;27;2000;10/01/2000;3;0;1
Pieter van den Hoogenband;22;2000;10/01/2000;2;0;2
An Hyeon-Su;20;2006;02/26/2006;3;0;1
Aliya Mustafina;17;2012;08/12/2012;1;1;2
Shawn Johnson;16;2008;08/24/2008;1;3;0
Dmitry Sautin;26;2000;10/01/2000;1;1;2
Leontien Zijlaard-van Moorsel;30;2000;10/01/2000;3;1;0
Petter Northug Jr.;24;2010;02/28/2010;2;1;1
Ole Einar Bjørndalen;28;2002;02/24/2002;4;0;0
Janica Kostelic;20;2002;02/24/2002;3;1;0
Nathan Adrian;23;2012;08/12/2012;2;1;0
Yannick Agnel;20;2012;08/12/2012;2;1;0
Brittany Elmslie;18;2012;08/12/2012;1;2;0
Matt Grevers;27;2012;08/12/2012;2;1;0
Ryosuke Irie;22;2012;08/12/2012;0;2;1
Cullen Jones;28;2012;08/12/2012;1;2;0
Ranomi Kromowidjojo;21;2012;08/12/2012;2;1;0
Camille Muffat;22;2012;08/12/2012;1;1;1
Mel Schlanger;25;2012;08/12/2012;1;2;0
Emily Seebohm;20;2012;08/12/2012;1;2;0
Rebecca Soni;25;2012;08/12/2012;2;1;0
Satomi Suzuki;21;2012;08/12/2012;0;1;2
Dana Vollmer;24;2012;08/12/2012;3;0;0
Alain Bernard;25;2008;08/24/2008;1;1;1
László Cseh Jr.;22;2008;08/24/2008;0;3;0
Matt Grevers;23;2008;08/24/2008;2;1;0
Margaret Hoelzer;25;2008;08/24/2008;0;2;1
Katie Hoff;19;2008;08/24/2008;0;1;2
Leisel Jones;22;2008;08/24/2008;2;1;0
Kosuke Kitajima;25;2008;08/24/2008;2;0;1
Andrew Lauterstein;21;2008;08/24/2008;0;1;2
Jason Lezak;32;2008;08/24/2008;2;0;1
Pang Jiaying;23;2008;08/24/2008;0;1;2
Aaron Peirsol;25;2008;08/24/2008;2;1;0
Steph Rice;20;2008;08/24/2008;3;0;0
Jess Schipper;21;2008;08/24/2008;1;0;2
Rebecca Soni;21;2008;08/24/2008;1;2;0
Eamon Sullivan;22;2008;08/24/2008;0;2;1
Dara Torres;41;2008;08/24/2008;0;3;0
Amanda Beard;22;2004;08/29/2004;1;2;0
Antje Buschschulte;25;2004;08/29/2004;0;0;3
Kirsty Coventry;20;2004;08/29/2004;1;1;1
Ian Crocker;21;2004;08/29/2004;1;1;1
Grant Hackett;24;2004;08/29/2004;1;2;0
Brendan Hansen;22;2004;08/29/2004;1;1;1
Jodie Henry;20;2004;08/29/2004;3;0;0
Otylia Jedrzejczak;20;2004;08/29/2004;1;2;0
Leisel Jones;18;2004;08/29/2004;1;1;1
Kosuke Kitajima;21;2004;08/29/2004;2;0;1
Laure Manaudou;17;2004;08/29/2004;1;1;1
Aaron Peirsol;21;2004;08/29/2004;3;0;0
Kaitlin Sandeno;21;2004;08/29/2004;1;1;1
Roland Schoeman;24;2004;08/29/2004;1;1;1
Pieter van den Hoogenband;26;2004;08/29/2004;1;2;0
Therese Alshammar;23;2000;10/01/2000;0;2;1
Yana Klochkova;18;2000;10/01/2000;2;1;0
Lenny Krayzelburg;24;2000;10/01/2000;3;0;0
Massimiliano Rosolino;22;2000;10/01/2000;1;1;1
Petria Thomas;25;2000;10/01/2000;0;2;1
Matt Welsh;23;2000;10/01/2000;0;2;1
Lee Jeong-Su;20;2010;02/28/2010;2;1;0
Apolo Anton Ohno;27;2010;02/28/2010;0;1;2
Wang Meng;24;2010;02/28/2010;3;0;0
Jin Seon-Yu;17;2006;02/26/2006;3;0;0
Lee Ho-Seok;19;2006;02/26/2006;1;2;0
Apolo Anton Ohno;23;2006;02/26/2006;1;0;2
Wang Meng;20;2006;02/26/2006;1;1;1
Marc Gagnon;26;2002;02/24/2002;2;0;1
Yang Yang (A);25;2002;02/24/2002;2;1;0
Stephanie Beckert;21;2010;02/28/2010;1;2;0
Martina Sáblíková;22;2010;02/28/2010;2;0;1
Enrico Fabris;24;2006;02/26/2006;2;0;1
Chad Hedrick;28;2006;02/26/2006;1;1;1
Jochem Uytdehaage;25;2002;02/24/2002;2;1;0
Sabine Völker;28;2002;02/24/2002;0;2;1
Gregor Schlierenzauer;20;2010;02/28/2010;1;0;2
Lars Bystøl;27;2006;02/26/2006;1;0;2
Johnny Spillane;29;2010;02/28/2010;0;3;0
Felix Gottwald;30;2006;02/26/2006;2;1;0
Georg Hettich;27;2006;02/26/2006;1;1;1
Felix Gottwald;26;2002;02/24/2002;0;0;3
Samppa Lajunen;22;2002;02/24/2002;3;0;0
Aly Raisman;18;2012;08/12/2012;2;0;1
Kohei Uchimura;23;2012;08/12/2012;1;2;0
Zou Kai;24;2012;08/12/2012;2;0;1
Cheng Fei;20;2008;08/24/2008;1;0;2
Yang Wei;28;2008;08/24/2008;2;1;0
Yang Yilin;15;2008;08/24/2008;1;0;2
Zou Kai;20;2008;08/24/2008;3;0;0
Marian Dragulescu;23;2004;08/29/2004;0;1;2
Paul Hamm;21;2004;08/29/2004;1;2;0
Carly Patterson;16;2004;08/29/2004;1;2;0
Catalina Ponor;16;2004;08/29/2004;3;0;0
Simona Amânar;20;2000;10/01/2000;2;0;1
Svetlana Khorkina;21;2000;10/01/2000;1;2;0
Yekaterina Lobaznyuk;17;2000;10/01/2000;0;2;1
Yelena Zamolodchikova;17;2000;10/01/2000;2;1;0
Guo Shuang;26;2012;08/12/2012;0;2;1
Chris Hoy;32;2008;08/24/2008;3;0;0
Bradley Wiggins;24;2004;08/29/2004;1;1;1
Florian Rousseau;26;2000;10/01/2000;2;1;0
Justyna Kowalczyk;27;2010;02/28/2010;1;1;1
Johan Olsson;29;2010;02/28/2010;1;0;2
Stefania Belmondo;33;2002;02/24/2002;1;1;1
Yuliya Chepalova;25;2002;02/24/2002;1;1;1
Frode Estil;29;2002;02/24/2002;2;1;0
Bente Skari-Martinsen;29;2002;02/24/2002;1;1;1
Magdalena Neuner;23;2010;02/28/2010;2;1;0
Emil Hegle Svendsen;24;2010;02/28/2010;2;1;0
Albina Akhatova;29;2006;02/26/2006;1;0;2
Ole Einar Bjørndalen;32;2006;02/26/2006;0;2;1
Sven Fischer;34;2006;02/26/2006;2;0;1
Martina Glagow-Beck;26;2006;02/26/2006;0;3;0
Michael Greis;29;2006;02/26/2006;3;0;0
Kati Wilhelm;29;2006;02/26/2006;1;2;0
Kati Wilhelm;25;2002;02/24/2002;2;1;0
Yohan Blake;22;2012;08/12/2012;1;2;0
Usain Bolt;25;2012;08/12/2012;3;0;0
Allyson Felix;26;2012;08/12/2012;3;0;0
Shelly-Ann Fraser-Pryce;25;2012;08/12/2012;1;2;0
Carmelita Jeter;32;2012;08/12/2012;1;1;1
Usain Bolt;21;2008;08/24/2008;3;0;0
Veronica Campbell-Brown;22;2004;08/29/2004;2;0;1
Justin Gatlin;22;2004;08/29/2004;1;1;1
Bode Miller;32;2010;02/28/2010;1;1;1
Aksel Lund Svindal;27;2010;02/28/2010;1;1;1
Anja Pärson;24;2006;02/26/2006;1;0;2
Stephan Eberharter;32;2002;02/24/2002;1;1;1
Ding Ning;22;2012;08/12/2012;1;1;0
Feng Tian Wei;25;2012;08/12/2012;0;0;2
Li Xiaoxia;24;2012;08/12/2012;2;0;0
Dmitrij Ovtcharov;23;2012;08/12/2012;0;0;2
Wang Hao;28;2012;08/12/2012;1;1;0
Zhang Jike;24;2012;08/12/2012;2;0;0
Guo Yue;20;2008;08/24/2008;1;0;1
Ma Lin;28;2008;08/24/2008;2;0;0
Wang Hao;24;2008;08/24/2008;1;1;0
Wang Liqin;30;2008;08/24/2008;1;0;1
Wang Nan;29;2008;08/24/2008;1;1;0
Zhang Yining;26;2008;08/24/2008;2;0;0
Zhang Yining;22;2004;08/29/2004;2;0;0
Kong Linghui;24;2000;10/01/2000;1;1;0
Li Ju;24;2000;10/01/2000;1;1;0
Liu Guoliang;24;2000;10/01/2000;0;1;1
Wang Nan;21;2000;10/01/2000;2;0;0
Viktoriya Azarenko;22;2012;08/12/2012;1;0;1
Mike Bryan;34;2012;08/12/2012;1;0;1
Andy Murray;25;2012;08/12/2012;1;1;0
Serena Williams;30;2012;08/12/2012;2;0;0
Fernando González;24;2004;08/29/2004;1;0;1
Nicolás Massú;26;2004;08/29/2004;2;0;0
Venus Williams;20;2000;10/01/2000;2;0;0
Ona Carbonell;22;2012;08/12/2012;0;1;1
Andrea Fuentes;29;2012;08/12/2012;0;1;1
Huang Xuechen;22;2012;08/12/2012;0;1;1
Nataliya Ishchenko;26;2012;08/12/2012;2;0;0
Liu Ou;25;2012;08/12/2012;0;1;1
Svetlana Romashina;22;2012;08/12/2012;2;0;0
Anastasiya Davydova;25;2008;08/24/2008;2;0;0
Andrea Fuentes;25;2008;08/24/2008;0;2;0
Gemma Mengual;31;2008;08/24/2008;0;2;0
Anastasiya Yermakova;25;2008;08/24/2008;2;0;0
Alison Bartosik;21;2004;08/29/2004;0;0;2
Anastasiya Davydova;21;2004;08/29/2004;2;0;0
Anna Kozlova;31;2004;08/29/2004;0;0;2
Miya Tachibana;29;2004;08/29/2004;0;2;0
Miho Takeda;27;2004;08/29/2004;0;2;0
Anastasiya Yermakova;21;2004;08/29/2004;2;0;0
Olga Brusnikina;21;2000;10/01/2000;2;0;0
Mariya Kiselyova;25;2000;10/01/2000;2;0;0
Miya Tachibana;25;2000;10/01/2000;0;2;0
Miho Takeda;24;2000;10/01/2000;0;2;0
Becky Adlington;23;2012;08/12/2012;0;0;2
Bronte Barratt;23;2012;08/12/2012;0;1;1
Elizabeth Beisel;19;2012;08/12/2012;0;1;1
